group,column,tier,definition,example,rationale
Identity and lifecycle,element_id,Core,"Permanent, opaque, namespaced identifier for the element. Never reused, never re-pointed at a different concept.",ONCREG:00214,Variable names get renamed and labels get reworded. Without a stable identifier there is no way to prove that a value collected in 2026 and a value collected in 2029 mean the same thing.
Identity and lifecycle,variable_name,Core,The name the element carries in the collection platform.,disease_stage_oncology,What analysts and exporters actually type. Mutable by design; element_id is the anchor.
Identity and lifecycle,label,Core,Short display label shown to the person answering or reviewing.,Cancer stage at diagnosis,Distinguished from definition so that wording can be improved without implying a change of meaning.
Identity and lifecycle,definition,Core,"A full definition of the concept that stands on its own, without reference to the label or the form.","Whether the malignancy was confined to its site of origin, extended to adjacent structures, or had spread to distant sites, as assessed at the time of initial diagnosis.",This is the column that prevents two sites collecting different things under one name. It is the single most frequently omitted column and the most expensive omission.
Identity and lifecycle,instrument,Core,The form or module the element belongs to.,cancer_dx,"Groups elements for consent, review, and export scoping."
Identity and lifecycle,element_version,Extended,Semantic version of this element definition.,2.1.0,A change to permissible values is a breaking change for anyone analyzing across the boundary. Version it explicitly.
Identity and lifecycle,status,Extended,"active, deprecated, or superseded.",active,Deprecated elements stay in the dictionary. Deleting them destroys the ability to interpret historical data.
Identity and lifecycle,supersedes / superseded_by,Extended,element_id of the predecessor or successor.,ONCREG:00113,Makes a chain of definition changes traceable rather than inferred.
Identity and lifecycle,date_added / date_modified,Extended,ISO dates.,2026-07-18,Pairs with element_version for audit.
Identity and lifecycle,steward,Governance,Named role accountable for the definition and for approving changes.,Registry data manager,An unowned dictionary drifts. A named steward is what makes the review cycle real.
Representation,data_type,Core,"string, integer, decimal, date, boolean, coded.",coded,Basic validation and load typing.
Representation,field_type,Core,"Widget: radio, checkbox, dropdown, text, notes, calc, slider.",radio,"Determines whether an element is single or multi-valued, which changes the export shape."
Representation,unit / ucum_code,Extended,Unit of measure with its UCUM code where applicable.,mg | mg,Dose fields without units are a recurring source of silent error.
Representation,value_set_name,Core,"Named, versioned value set rather than an inline list.",ONCREG_STAGE_CATEGORY v1.0,Named value sets can be reused and reviewed. Inline lists get copied and diverge.
Representation,permissible_values,Core,Code and display pairs.,1 | Localized,Stored as code plus display so that relabeling does not change stored data.
Representation,required / branching_logic,Core,"Whether the element is required, and the condition under which it is shown.",shown if regimen_details_oncology contains 3,Missingness cannot be interpreted without knowing whether the element was ever asked.
Semantic binding,code_system,Core,The terminology the element binds to.,SNOMED CT,Binding is what makes the element interoperable rather than merely documented.
Semantic binding,concept_code / concept_display,Core,The specific concept the element or value represents.,LOINC 21908-9,Enables automated mapping into a common data model without human interpretation at load time.
Semantic binding,cadsr_cde_public_id,Extended,NCI caDSR Common Data Element public identifier.,2867231,Aligns this registry with NCI convention and with the caDSR reference already used elsewhere in this project.
Semantic binding,naaccr_item_number,Extended,NAACCR Volume II item number where an equivalent exists.,#759,Lets registry data be compared with central cancer registry data without a bespoke mapping exercise.
Provenance and derivation,source_class,Core,"participant survey, FHIR, C-CDA, narrative extraction, computed, registry constant, or external linkage.",FHIR,The column that makes provenance analyzable rather than anecdotal. Required for every element that leaves the registry.
Provenance and derivation,fhir_path,Core,Resource and element the value is read from.,Observation.valueCodeableConcept,Turns the mapping from prose into something a pipeline can be tested against.
Provenance and derivation,derivation_rule,Core,Plain-language statement of how the value is computed.,Stage assigned metastatic where any Condition carries ICD-10-CM C77-C79.,Anyone reviewing an export must be able to reconstruct how a value was reached without reading source code.
Provenance and derivation,derivation_ref,Extended,Module and function implementing the rule.,drug_repurposing.py::cure_id_intake_rows,Ties documentation to running code so the two can be checked against each other.
Provenance and derivation,derivability_tier,Core,"auto, derive-then-confirm, survey, or human step.",derive-then-confirm,Drives the attestation interface: it determines what a participant is shown for confirmation.
Provenance and derivation,confirmation_required,Core,Whether a human must confirm the value before it leaves the registry.,yes,The operational expression of the attestation model.
Provenance and derivation,value_level_provenance,Governance,"Whether provenance is stored per value instance, not only per element.",yes,A single element may be FHIR-derived for one participant and survey-answered for another. Element-level provenance alone cannot represent that.
Analytic model,omop_domain,Extended,OMOP CDM domain.,Condition,Places the element in the common data model that the analytic layer queries.
Analytic model,omop_table / omop_field,Extended,Target table and column.,condition_occurrence.condition_concept_id,Makes the ETL specification reviewable independently of the code.
Analytic model,omop_concept_id,Extended,Standard concept identifier.,4048809,Standard concepts are what network studies join on.
Analytic model,source_value_retained,Governance,Whether the original source code and text are preserved alongside the mapped concept.,yes,Mapping decisions get revisited. Discarding the source value makes remapping impossible.
Disclosure and privacy,disclosure_tier,Core,"internal only, CURE ID submission, aggregate public, or participant-facing.",CURE ID submission,Consent scoping and export filtering both read this column. It is what makes a disclosure decision auditable.
Disclosure and privacy,privacy_transform,Core,"Transformation applied before release: age band, year only, interval from index, suppress below threshold, free-text review, or none.",age band,Privacy handled as a property of the element rather than as a step someone remembers to apply.
Disclosure and privacy,k_threshold,Extended,Minimum cell size below which the value is suppressed.,5,Rare cancers with rare primary sites make small cells identifying.
Disclosure and privacy,identifiability_review_date,Governance,Date the element last received a re-identification review.,2026-07-18,Public repositories change. A review that never repeats is a review that expires quietly.
Export mapping,cure_id_variable / cure_id_step,Core,Target variable name and CRF step in the CURE ID instrument.,disease_stage_oncology | 5b,The join key between the internal dictionary and the submission dictionary.
Export mapping,cure_id_value_map,Core,How each internal permissible value collapses into a CURE ID response option.,"1,2 -> Localized; 3 -> Locally advanced",Value-level mapping is where most export defects originate. Documenting it makes them testable.
Export mapping,cure_id_lossy,Extended,"Whether the mapping loses information, and what is lost.",yes: TNM detail collapsed to three categories,"Records what the receiving repository will not have, so that no one later mistakes the CRF value for the full clinical picture."
Quality,expected_completeness,Extended,"Target or observed completeness, with the denominator stated.",~40% of participants with a connected record,Sets expectations before analysis and surfaces pipeline regressions.
Quality,validation_rule,Extended,Constraint applied at entry or load.,year_of_diagnosis <= current year,"Cheap to specify, expensive to omit."
Quality,known_limitations,Core,Documented caveats a downstream user needs in order to interpret the element correctly.,Administrative gender substituted where the birth sex extension is absent.,The column that carries honest caveats forward to people who were not in the room when the decision was made.
